site,pdb,fs1,fs2,weight
Tunnel,5am1,11.122,7.932,376.45
Tunnel,5am3,3.010,12.195,412.52
Tunnel,5alg,5.882,1.783,480.96
Tunnel,5alp,2.452,1.391,343.4
Tunnel,5alh,4.483,4.440,521.67
Tunnel,5ai5,1.856,4.199,212.25
BS1,5am4,0.641,2.587,285.38
BS1,5aly,2.605,2.843,284.29
BS1,5akh,0.129,6.399,289.25
BS1,5am0,1.691,1.283,258.29
BS1,5alx,2.359,11.680,263.38
BS1,5aia,5.310,7.389,219.26
BS2,5alo,0.671,2.987,317.38
BS2,5alt,3.723,4.117,258.3
BS2,5akg,2.799,1.739,183.25
BS2,5akk,0.925,1.876,212.04
BS2,5ai0,0.460,0.038,161.16
BS2,5ak6,0.115,1.567,189.66